Username,Transaction ID,Transaction Type,Amount,Description,Date,Balance,Category,Deducted for Saving
ccyenoc,DB000001,Debit,1000.0,living,Wed Jan 01 15:28:17 MYT 2025,1000,Food,No
ccyenoc,DB000002,Debit,1000.0,loan,Wed Jan 01 15:28:49 MYT 2025,2000,Food,No
ccyenoc,DB000003,Debit,1000.0,food,Wed Jan 01 15:30:16 MYT 2025,3000,Food,No
ccyenoc,DB000004,Debit,1000.0,loan,Wed Jan 01 15:35:56 MYT 2025,3900,Food,Yes
ccyenoc,DB000005,Debit,1000.0,cny shirt,Wed Jan 01 15:50:21 MYT 2025,4800,Fashion,Yes
ccyenoc,DB000006,Debit,2000.0,test,Wed Jan 01 15:55:05 MYT 2025,6600,Fashion,Yes
ccyenoc,DB000007,Debit,1000.0,loan,Wed Jan 01 16:00:07 MYT 2025,7600,Food,No
ccyenoc,DB000008,Debit,1500.0,living,Wed Jan 01 16:06:29 MYT 2025,9100,Transportation,No
ccyenoc,DB000009,Debit,1000.0,living,Wed Jan 01 16:35:51 MYT 2025,10000,Food,Yes
ccyenoc,DB000010,Debit,100.0,loan,Wed Jan 01 16:43:51 MYT 2025,10090,Food,Yes
ccyenoc,DB000011,Debit,100.0,living,Wed Jan 01 16:49:25 MYT 2025,10180,Food,Yes
ccyenoc,DB000012,Debit,1000.0,living,Wed Jan 01 16:50:32 MYT 2025,11080,Food,Yes
ccyenoc,DB000013,Debit,1000.0,living,Wed Jan 01 16:52:55 MYT 2025,11980,Food,Yes
ccyenoc,DB000014,Debit,1000.0,living,Wed Jan 01 17:08:30 MYT 2025,12880,Food,Yes
ccyenoc,DB000015,Debit,1000.0,living,Wed Jan 01 17:21:31 MYT 2025,13880,Food,No
ccyenoc,DB000016,Debit,1000.0,living,Wed Jan 01 17:21:52 MYT 2025,14880,Transportation,No
ccyenoc,DB000017,Debit,2500.0,Happy Go Lucky,Wed Jan 01 17:22:36 MYT 2025,17380,Food,No
ccyenoc,DB000018,Debit,2000.0,happy,Wed Jan 01 17:25:27 MYT 2025,19380,Food,No
ccyenoc,DB000019,Debit,2389.0,happy,Wed Jan 01 17:36:45 MYT 2025,21769,Food,No
ccyenoc,DB000020,Debit,1000.0,living,Wed Jan 01 17:50:28 MYT 2025,22769,Food,No
brayden,DB000021,Debit,10000.0,tesla,Thu Jan 02 15:49:09 MYT 2025,10000,Transportation,No
brayden,DB000022,Debit,10.0,food,Thu Jan 02 16:16:38 MYT 2025,10010,Food,No
brayden,DB000023,Debit,1000.0,living,Thu Jan 02 16:22:24 MYT 2025,11010,Food,No
brayden,DB000024,Debit,1000.0,food,Thu Jan 02 16:31:55 MYT 2025,12010,Food,No
brayden,DB000025,Debit,100.0,living,Thu Jan 02 16:43:07 MYT 2025,12110,Food,No
brayden,DB000026,Debit,1000.0,living,Thu Jan 02 16:50:32 MYT 2025,13110,Food,Yes
brayden,DB000027,Debit,1000.0,driving ,Thu Jan 02 16:53:15 MYT 2025,14110,Transportation,Yes
brayden,DB000028,Debit,1000.0,living,Thu Jan 02 16:59:17 MYT 2025,15010,Food,Yes
brayden,DB000029,Debit,10000.0,loacn,Fri Jan 03 15:26:34 MYT 2025,23810,,No
ccyenoc,DB000030,Debit,1000.0,mood,Sat Jan 04 17:32:09 MYT 2025,25757.9000000000014551915228366851806640625,Food,No
ccyenoc,DB000031,Debit,1000.000000,food,Sat Jan 04 17:34:51 MYT 2025,26757.9000000000014551915228366851806640625,Food,No
ccyenoc,DB000032,Debit,1000.000000,living,Sun Jan 05 00:29:34 MYT 2025,26557.90,Food,Yes
ccyenoc,DB000033,Debit,10000.000000,food food food,Sun Jan 05 18:32:13 MYT 2025,35757.90,Food,Yes
ccyenoc,DB000034,Debit,200.000000,transport,Sun Jan 05 18:34:01 MYT 2025,35937.90,Transportation,Yes
