Username,Repayment ID,Loan ID,Total Repayment Amount,Repayment Amount,Total Loan Paid,Time
xiaopet,RP000001,AL000001,100333.53,2.00,2.00,Tue Jan 14 19:27:28 GMT+08:00 2025
xiaopet,RP000002,AL000001,100333.53,5.00,7.00,Tue Jan 14 19:27:59 GMT+08:00 2025
xiaopet,RP000003,AL000001,100333.53,100326.53,100331.53,Tue Jan 14 19:31:21 GMT+08:00 2025
xiaopet,RP000004,AL000002,10033.35,10033.35,10033.35,Tue Jan 14 19:47:14 GMT+08:00 2025
xiaopet,RP000005,AL000002,10033.35,10033.35,20066.70,Tue Jan 14 20:04:55 GMT+08:00 2025
xiaopet,RP000006,AL000002,10033.35,3344.45,3344.45,Wed Jan 15 15:33:19 GMT+08:00 2025
xiaopet,RP000007,AL000002,10033.35,3344.45,3344.45,Wed Jan 15 15:35:16 GMT+08:00 2025
xiaopet,RP000008,AL000002,10033.35,3344.45,3344.45,Wed Jan 15 15:40:09 GMT+08:00 2025
xiaopet,RP000009,AL000002,10033.35,9.094947017729282E-13,9.094947017729282E-13,Wed Jan 15 15:51:51 GMT+08:00 2025
xiaopet,RP000010,AL000002,10033.35,0.0,0.0,Wed Jan 15 15:53:00 GMT+08:00 2025
xiaopet,RP000011,AL000003,101253.12,25313.28,25313.28,Wed Jan 15 15:53:00 GMT+08:00 2025
xiaopet,RP000012,AL000002,10033.35,3344.45,3344.45,Wed Jan 15 15:58:02 GMT+08:00 2025
xiaopet,RP000013,AL000002,10033.35,3344.45,3344.45,Wed Jan 15 15:59:26 GMT+08:00 2025
xiaopet,RP000014,AL000002,10033.35,3344.45,3344.45,Wed Jan 15 16:03:23 GMT+08:00 2025
xiaopet,RP000015,AL000003,101253.12,25313.28,25313.28,Wed Jan 15 16:06:08 GMT+08:00 2025
xiaopet,RP000016,AL000002,10033.35,3344.45,3344.45,Wed Jan 15 16:07:12 GMT+08:00 2025
xiaopet,RP000017,AL000003,101253.12,25313.28,25313.28,Wed Jan 15 16:07:12 GMT+08:00 2025
xiaopet,RP000018,AL000002,10033.35,3344.45,3344.45,Wed Jan 15 16:10:47 GMT+08:00 2025
xiaopet,RP000019,AL000002,10033.35,3344.45,3344.45,Wed Jan 15 16:13:41 GMT+08:00 2025
xiaopet,RP000020,AL000002,10033.35,3344.45,3344.45,Wed Jan 15 16:19:50 GMT+08:00 2025
xiaopet,RP000021,AL000003,101253.12,25313.28,25313.28,Wed Jan 15 16:19:50 GMT+08:00 2025
