Username,Repayment ID,Loan ID,Total Repayment Amount,Repayment Amount,Total Loan Paid,Time
ccyenoc,RP000001,AL000001,1003.35,1003.35,1003.35,Fri Jan 10 15:15:12 GMT+08:00 2025
ccyenoc,RP000002,AL000003,1003.35,1003.35,1003.35,Fri Jan 10 15:32:47 GMT+08:00 2025
ccyenoc,RP000003,AL000004,2006.67,1000.00,1000.00,Fri Jan 10 15:35:35 GMT+08:00 2025
ccyenoc,RP000004,AL000004,2006.67,1006.67,2006.67,Fri Jan 10 15:35:48 GMT+08:00 2025
ccyenoc,RP000005,AL000006,1003.76,1003.76,1003.76,Fri Jan 10 15:37:19 GMT+08:00 2025
ccyenoc,RP000006,AL000007,1003.35,1003.35,1003.35,Fri Jan 10 15:43:28 GMT+08:00 2025
ccyenoc,RP000007,AL000008,1003.35,1003.35,1003.35,Fri Jan 10 15:47:15 GMT+08:00 2025
ccyenoc,RP000008,AL000009,1003.35,1003.35,1003.35,Fri Jan 10 15:51:00 GMT+08:00 2025
ccyenoc,RP000009,AL000011,1003.35,1003.35,1003.35,Fri Jan 10 15:57:21 GMT+08:00 2025
ccyenoc,RP000010,AL000012,1003.35,1003.35,1003.35,Fri Jan 10 15:58:19 GMT+08:00 2025
ccyenoc,RP000011,AL000001,1003.35,1003.35,2006.70,Fri Jan 10 16:05:20 GMT+08:00 2025
ccyenoc,RP000012,AL000002,1003.35,1003.35,1003.35,Fri Jan 10 16:10:50 GMT+08:00 2025
ccyenoc,RP000013,AL000003,1003.35,1003.35,2006.70,Fri Jan 10 16:11:39 GMT+08:00 2025
